id,barangay,record_type,date,value,created_at,updated_at
5691,"Pag-asa","forecast","""2026-07-31T16:00:00.000Z""","0.077",,
5692,"Pag-asa","forecast","""2026-08-31T16:00:00.000Z""","0.083",,
5693,"Plainview","forecast","""2025-09-30T16:00:00.000Z""","0.988",,
5694,"Plainview","forecast","""2025-10-31T16:00:00.000Z""","0.983",,
5695,"Plainview","forecast","""2025-11-30T16:00:00.000Z""","0.771",,
5696,"Plainview","forecast","""2025-12-31T16:00:00.000Z""","0.689",,
5697,"Plainview","forecast","""2026-01-31T16:00:00.000Z""","0.644",,
5698,"Plainview","forecast","""2026-02-28T16:00:00.000Z""","1.246",,
5699,"Plainview","forecast","""2026-03-31T16:00:00.000Z""","0.487",,
5700,"Plainview","forecast","""2026-04-30T16:00:00.000Z""","1.347",,
5701,"Plainview","forecast","""2026-05-31T16:00:00.000Z""","0.754",,
5702,"Plainview","forecast","""2026-06-30T16:00:00.000Z""","0.875",,
5703,"Plainview","forecast","""2026-07-31T16:00:00.000Z""","0.692",,
5704,"Plainview","forecast","""2026-08-31T16:00:00.000Z""","0.955",,
5705,"Pleasant Hills","forecast","""2025-09-30T16:00:00.000Z""","0.018",,
5706,"Pleasant Hills","forecast","""2025-10-31T16:00:00.000Z""","0.017",,
5707,"Pleasant Hills","forecast","""2025-11-30T16:00:00.000Z""","0.016",,
5708,"Pleasant Hills","forecast","""2025-12-31T16:00:00.000Z""","0.016",,
5709,"Pleasant Hills","forecast","""2026-01-31T16:00:00.000Z""","0.015",,
5710,"Pleasant Hills","forecast","""2026-02-28T16:00:00.000Z""","0.015",,
5711,"Pleasant Hills","forecast","""2026-03-31T16:00:00.000Z""","0.014",,
5712,"Pleasant Hills","forecast","""2026-04-30T16:00:00.000Z""","0.014",,
5713,"Pleasant Hills","forecast","""2026-05-31T16:00:00.000Z""","0.013",,
5714,"Pleasant Hills","forecast","""2026-06-30T16:00:00.000Z""","0.013",,
5715,"Pleasant Hills","forecast","""2026-07-31T16:00:00.000Z""","0.013",,
5716,"Pleasant Hills","forecast","""2026-08-31T16:00:00.000Z""","0.012",,
5717,"Poblacion","forecast","""2025-09-30T16:00:00.000Z""","0.073",,
5718,"Poblacion","forecast","""2025-10-31T16:00:00.000Z""","0.071",,
5719,"Poblacion","forecast","""2025-11-30T16:00:00.000Z""","0.072",,
5720,"Poblacion","forecast","""2025-12-31T16:00:00.000Z""","0.071",,
5721,"Poblacion","forecast","""2026-01-31T16:00:00.000Z""","0.07",,
5722,"Poblacion","forecast","""2026-02-28T16:00:00.000Z""","0.087",,
5723,"Poblacion","forecast","""2026-03-31T16:00:00.000Z""","0.071",,
5724,"Poblacion","forecast","""2026-04-30T16:00:00.000Z""","0.071",,
5725,"Poblacion","forecast","""2026-05-31T16:00:00.000Z""","0.07",,
5726,"Poblacion","forecast","""2026-06-30T16:00:00.000Z""","0.069",,
5727,"Poblacion","forecast","""2026-07-31T16:00:00.000Z""","0.069",,
5728,"Poblacion","forecast","""2026-08-31T16:00:00.000Z""","0.068",,
5729,"San Jose","forecast","""2025-09-30T16:00:00.000Z""","0.116",,
5730,"San Jose","forecast","""2025-10-31T16:00:00.000Z""","0.116",,
5731,"San Jose","forecast","""2025-11-30T16:00:00.000Z""","0.127",,
5732,"San Jose","forecast","""2025-12-31T16:00:00.000Z""","0.116",,
5733,"San Jose","forecast","""2026-01-31T16:00:00.000Z""","0.116",,
5734,"San Jose","forecast","""2026-02-28T16:00:00.000Z""","0.127",,
5735,"San Jose","forecast","""2026-03-31T16:00:00.000Z""","0.116",,
5736,"San Jose","forecast","""2026-04-30T16:00:00.000Z""","0.116",,
5737,"San Jose","forecast","""2026-05-31T16:00:00.000Z""","0.127",,
5738,"San Jose","forecast","""2026-06-30T16:00:00.000Z""","0.119",,
5739,"San Jose","forecast","""2026-07-31T16:00:00.000Z""","0.118",,
5740,"San Jose","forecast","""2026-08-31T16:00:00.000Z""","0.118",,
5741,"Vergara","forecast","""2025-09-30T16:00:00.000Z""","0.005",,
5742,"Vergara","forecast","""2025-10-31T16:00:00.000Z""","0",,
5743,"Vergara","forecast","""2025-11-30T16:00:00.000Z""","0.077",,
5744,"Vergara","forecast","""2025-12-31T16:00:00.000Z""","0",,
5745,"Vergara","forecast","""2026-01-31T16:00:00.000Z""","0.069",,
5746,"Vergara","forecast","""2026-02-28T16:00:00.000Z""","0.011",,
5747,"Vergara","forecast","""2026-03-31T16:00:00.000Z""","0.006",,
5748,"Vergara","forecast","""2026-04-30T16:00:00.000Z""","0.02",,
5749,"Vergara","forecast","""2026-05-31T16:00:00.000Z""","0.001",,
5750,"Vergara","forecast","""2026-06-30T16:00:00.000Z""","0",,
649,"Wack-Wack Greenhills","actual","""2016-10-31T16:00:00.000Z""","1",,
664,"Wack-Wack Greenhills","actual","""2023-03-31T16:00:00.000Z""","1",,
665,"Pag-asa","actual","""2013-12-31T16:00:00.000Z""","1",,
670,"Wack-Wack Greenhills","actual","""2019-11-30T16:00:00.000Z""","1",,
678,"Wack-Wack Greenhills","actual","""2012-10-31T16:00:00.000Z""","1",,
681,"Wack-Wack Greenhills","actual","""2019-12-31T16:00:00.000Z""","1",,
685,"Wack-Wack Greenhills","actual","""2017-11-30T16:00:00.000Z""","1",,
696,"Wack-Wack Greenhills","actual","""2024-07-31T16:00:00.000Z""","4",,
697,"Wack-Wack Greenhills","actual","""2021-08-31T16:00:00.000Z""","1",,
700,"Old Zañiga","actual","""2015-02-28T16:00:00.000Z""","1",,
716,"New Zañiga","actual","""2014-06-30T16:00:00.000Z""","2",,
5751,"Vergara","forecast","""2026-07-31T16:00:00.000Z""","0.005",,
5752,"Vergara","forecast","""2026-08-31T16:00:00.000Z""","0.04",,
5753,"Wack-wack Greenhills","forecast","""2025-09-30T16:00:00.000Z""","0.353",,
